ID,ResponseId,d0_s0,Consent,beh1p,beh2p,beh3p,beh4p,beh5p,beh6p,beh7p,beh8p,beh9p,beh10p,beh11p,beh12p,beh13p,beh14p,beh15p,beh16p,beh17n,beh18n,beh19n,beh20n,beh21n,beh22n,beh23n,beh24n,beh25n,beh26n,beh27n,beh28n,beh29n,beh30n,Attention_check,beh31n,beh32n,beh33neut,beh34neut,beh35neut,beh36neut,beh37neut,beh38neut,beh39neut,beh40neut,DO_1,DO_2,DO_3,DO_4,DO_5,DO_6,DO_7,DO_8,DO_9,DO_10,DO_11,DO_12,DO_13,DO_14,DO_15,DO_16,DO_17,DO_18,DO_19,DO_20,DO_21,DO_22,DO_23,DO_24,DO_25,DO_26,DO_27,DO_28,DO_29,DO_30,DO_31,DO_32,DO_33,DO_34,DO_35,DO_36,DO_37,DO_38,DO_39,DO_40,DO_41,Gender,Age,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,employed,FT_years
1,R_2arGB4fQa2xHAgW,0,1,3,4,2,5,5,4,5,3,3,5,4,2,4,3,3,3,6,5,4,5,3,4,3,3,3,4,3,4,5,4,3,4,5,5,4,4,4,5,5,5,5,4,19,5,2,13,21,23,18,25,28,38,1,40,14,39,7,9,3,8,30,37,10,20,34,22,31,27,41,15,33,12,32,35,29,6,24,16,36,11,26,17,2,25, , , , ,1, , ,1,4
2,R_SZTv6kihC300SNb,0,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,4,4,4,4,4,4,4,4,34,20,22,10,30,25,37,6,1,35,12,39,29,36,24,15,18,14,5,28,4,9,2,27,13,21,23,19,33,31,7,11,3,38,8,26,32,40,17,41,16,1,42, , , , ,1, , ,1,19
3,R_3R4brCFzKPIm4qy,0,1,7,7,6,7,7,7,7,7,7,7,7,7,7,7,6,7,1,2,1,1,4,2,1,1,1,1,1,1,1,1,2,1,1,4,4,4,4,4,4,4,5,8,9,35,16,34,7,20,25,21,22,5,37,24,23,31,15,32,4,14,38,30,13,18,36,10,33,27,40,29,19,26,11,17,3,12,6,41,2,1,28,39,1,28, , , ,1, , , ,1,8
4,R_2xK4oXklfEDbaJ2,0,1,6,5,5,6,6,6,6,6,6,6,6,7,5,7,6,7,1,3,1,2,3,2,3,3,2,1,2,3,2,2,2,2,2,4,4,4,4,4,4,4,4,5,27,14,2,30,4,28,11,13,26,41,23,9,8,12,3,24,18,32,16,20,39,38,21,10,34,29,35,25,33,15,36,31,19,22,40,37,6,17,7,1,1,23, , , , ,1, , ,1,3
5,R_1INkGyzwHnPCBNm,0,1,7,7,6,7,6,6,6,7,6,7,7,6,6,6,7,7,2,3,2,2,3,3,2,2,2,1,1,3,3,2,2,2,1,4,4,4,6,6,5,4,5,19,17,26,20,5,2,38,33,27,7,6,16,30,9,18,10,35,21,32,31,25,12,34,22,14,1,8,23,13,24,11,3,15,39,40,41,29,37,36,4,28,1, , , , , ,1, , ,1,8
6,R_AO0cxjghBIRlWeJ,0,1,7,6,6,5,6,6,7,6,6,7,6,7,6,7,7,6,1,2,1,1,2,3,3,2,2,2,1,3,1,1,2,2,2,4,4,4,4,4,4,4,4,1,22,33,38,34,21,3,10,25,41,39,5,36,27,6,15,7,20,14,24,12,18,9,16,40,2,8,29,23,26,35,13,4,28,37,32,30,17,19,11,31,1,42, , , , ,1, , ,1,19
7,R_1DuteBxUHktnuUx,0,1,5,5,5,5,3,3,6,4,3,4,5,6,4,3,4,3,3,4,5,3,5,6,6,4,4,4,5,3,5,5,2,4,5,5,5,4,5,4,5,3,3,21,6,1,39,15,38,12,4,22,28,3,20,26,2,11,32,25,10,34,8,37,7,14,18,23,27,13,36,40,30,41,33,19,31,5,24,9,17,16,29,35,1,30, , , , ,1, , ,1,7
8,R_O9abJynjCmJKREZ,0,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,4,1,1,1,1,1,1,2,1,1,4,4,4,4,4,4,4,4,34,21,38,11,14,10,6,39,32,28,40,1,22,19,26,37,36,23,12,2,20,41,3,30,31,27,29,13,8,24,15,35,16,18,25,9,33,17,7,5,4,1,41, , , , ,1, , ,1,19
9,R_BE4CCkM0yJb7F5L,0,1,7,7,5,5,7,6,7,7,7,7,7,7,7,7,7,7,1,1,2,2,2,2,2,2,2,1,1,3,1,2,2,3,2,4,4,4,4,4,4,4,4,1,15,32,21,22,39,17,16,18,3,9,34,36,4,40,41,11,38,25,8,7,30,19,26,5,29,31,24,37,27,10,13,28,33,2,35,6,23,12,20,14,1,42, ,1, , , , , ,2,15
10,R_xsImN4fC1d06Uxj,0,1,4,4,4,4,6,5,4,5,6,4,6,3,5,4,3,5,5,5,6,3,2,3,5,6,4,4,4,3,6,4,2,3,4,2,4,4,3,5,5,5,2,28,19,29,26,5,3,36,13,1,32,22,14,16,35,30,23,37,34,11,12,33,10,40,20,6,41,4,8,24,21,17,31,25,18,38,15,27,9,39,2,7,2,25, , , , ,1, , ,1,2
11,R_31WTd1KpRH6pZlb,0,1,5,5,5,5,5,5,6,6,7,7,5,6,5,6,7,5,1,3,3,3,2,3,2,3,2,2,1,2,2,2,2,2,2,4,4,4,4,4,4,4,4,13,11,19,12,39,31,9,4,8,15,32,29,25,20,22,21,37,14,33,40,38,6,36,41,34,30,26,2,27,35,16,10,28,1,23,18,3,24,5,7,17,1,45, , , , ,1, , ,1,22
12,R_3g6H1tfQs05yMDM,0,1,7,6,6,6,7,7,6,6,7,7,7,7,6,7,7,7,1,2,1,2,2,2,1,2,1,1,1,2,1,2,2,3,1,4,4,4,4,4,4,4,4,15,20,1,19,12,33,28,25,10,22,29,40,26,11,9,13,39,7,6,41,32,14,27,16,36,38,8,5,37,17,31,18,21,24,23,4,30,3,34,35,2,1,37, , , , ,1, , ,1,10
13,R_2Swb203nt5yi7O4,0,1,7,7,6,6,7,7,7,7,7,7,7,7,6,7,7,7,1,2,1,2,1,2,2,2,2,1,1,2,1,1,2,2,1,4,4,4,4,4,4,4,4,16,19,33,39,37,3,22,26,18,40,28,13,6,41,12,14,15,20,5,32,7,2,27,30,10,29,36,25,21,9,8,24,1,31,17,35,4,11,23,34,38,1,58, , , , ,1, , ,3,25
14,R_2aIvSN5CkiFIqPp,0,1,4,5,5,5,6,4,5,5,6,5,2,4,4,2,4,4,4,5,2,4,5,3,6,6,6,6,5,4,3,4,2,3,6,4,6,3,4,4,3,5,5,28,30,41,17,10,11,36,40,13,5,6,33,38,23,14,21,27,32,19,29,12,26,20,18,2,1,7,15,24,39,4,22,3,9,8,31,16,25,35,37,34,1,37, , , , ,1, , ,1,16
15,R_2pQ4ETUNrawC8oR,0,1,7,7,6,6,6,7,7,6,7,6,6,7,6,7,7,6,1,1,2,2,2,2,1,2,1,1,1,2,1,1,2,1,2,4,4,4,4,4,4,4,2,20,21,18,36,29,40,12,38,22,31,11,14,3,6,34,33,8,32,37,15,24,39,2,26,9,16,5,1,27,17,4,13,10,7,23,19,25,30,41,35,28,1,52, , ,1, , , , ,1,29
16,R_3g7rOoxf5c3Rgcl,0,1,6,5,4,4,5,7,4,5,7,7,7,6,4,5,7,7,4,5,7,4,5,7,6,5,5,4,7,5,5,6,6,6,7,7,7,7,4,5,4,6,6,3,25,8,22,5,13,2,16,27,9,10,21,15,11,32,4,20,28,24,6,34,35,17,19,26,36,38,30,7,39,33,31,14,18,23,29,37,41,40,12,1,1,32, , , , ,1, , ,1,10
17,R_27WpeRKZmITLesG,0,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,4,1,1,1,3,2,2,1,1,1,3,1,3,2,3,2,4,4,4,4,4,4,4,4,31,39,1,6,27,14,11,25,21,12,26,15,23,4,18,5,41,17,28,24,29,3,32,35,34,22,19,7,2,38,13,37,20,36,8,16,9,30,40,10,33,2,35, , , , ,1, , ,3,5
18,R_ezf1nIeyZ0PgGfD,0,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,4,4,4,4,4,4,4,4,13,41,8,26,39,21,35,7,22,1,14,2,19,31,16,6,33,9,10,40,25,30,15,4,27,36,5,20,12,3,38,28,23,37,11,34,32,29,18,17,24,2,28, ,1, , , , , ,1,8
19,R_3oR3gl7ByGjWQrM,0,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1, ,1,1,1,1,1,1,1,1,7,2,1,1,7,7,7,7,7,7,7,7,13,31,3,37,29,1,34,32,22,38,24,28,25,41,20,35,8,9,4,2,10,40,21,14,26,7,36,33,39,5,30,17,27,12,15,6,11,19,18,23,16,1,29, , ,1, , , , ,1,5
20,R_1rfFjXDb0kyKiWi,0,1,7,7,6,6,7,7,7,6,7,7,7,7,6,7,7,7,1,2,1,1,2,2,2,1,2,1,1,1,1,1,2,2,1,4,4,4,4,4,4,4,5,20,3,30,1,21,36,5,37,25,40,16,10,9,31,18,27,12,35,39,2,14,19,23,6,17,28,7,15,41,38,29,8,33,13,32,11,22,4,24,26,34,1,44, , , , ,1, , ,1,28
21,R_3DuPdDAWcw9ZYpS,0,1,6,5,5,6,6,7,6,7,7,7,7,7,6,6,7,6,1,3,2,1,1,2,2,1,1,1,1,2,1,1,2,1,1,4,4,4,4,4,4,4,4,6,23,21,5,25,38,34,14,16,11,27,40,18,31,19,30,26,33,13,24,39,3,36,41,35,9,12,20,1,10,2,22,28,37,7,29,15,32,4,8,17,2,34, , ,1, , , , ,1,13
22,R_dbztqxuFlFK0tLb,0,1,2,6,6,6,6,6,5,6,2,6,5,6,6,6,6,6,2,2,4,2,5,2,2,2,6,2,2,2,2,5,2,2,2,4,5,6,4,1,5,4,6,34,39,16,20,28,17,4,32,38,40,26,10,23,15,7,12,8,37,21,41,3,14,31,22,29,6,33,5,24,35,9,36,19,25,13,1,27,30,2,18,11,1,28, , , , ,1, , ,1,5
23,R_ssVCzQYLLrMx9i9,0,1,7,6,6,6,7,6,6,7,5,5,7,6,6,6,7,7,1,2,1,2,1,3,1,2,2,2,1,2,1,1,2,1,1,4,4,4,7,4,3,4,4,21,41,18,14,5,27,29,7,11,16,4,33,36,23,30,3,1,6,15,28,26,25,9,31,19,35,38,13,40,8,22,10,39,37,34,2,24,32,17,20,12,2,28, , , ,1, , , ,1,9
24,R_1qeoKb5pBco4kgB,0,1,7,5,6,6,6,7,7,7,7,7,7,7,7,7,7,6,1,1,2,2,1,2,1,3,1,1,1,2,1,2,2,2,1,4,4,4,4,4,4,4,5,13,15,41,3,27,17,30,23,39,18,4,14,9,35,28,21,12,1,5,38,37,36,7,16,33,22,6,26,8,24,40,20,32,25,10,31,2,34,11,29,19,1,30, , , , ,1, , ,1,12
25,R_3ewOfmRTxiZBxxh,0,1,6,6,6,7,4,7,1,1,1,1,6,6,2,1,7,3,3,1,5,5,3,6,6,7,2,6,5,4,7,3,2,7,5,6,6,6,5,6,6,6,7,20,27,22,6,1,21,17,23,2,32,15,38,36,31,29,9,5,18,7,40,37,28,34,25,24,30,39,41,12,13,19,14,33,4,35,3,26,8,10,11,16,1,26, , , , ,1, , ,1,9
26,R_2dFnNBi2blJ6QME,0,1,6,4,6,5,6,5,6,6,6,4,6,6,5,4,7,5,6,6,6,7,5,5,6,4,7,6,5,5,6,5,2,4,6,5,4,5,5, ,6,5,5,3,8,41,38,40,10,2,33,23,11,22,6,19,17,16,21,7,34,13,15,5,25,20,1,35,36,9,31,28,18,30,24,12,29,37,14,39,4,27,32,26,1,52, , ,1, , , , ,1,8
27,R_3IRmNyCScTUwpkF,0,1,7,6,6,5,7,7,7,7,7,7,6,7,7,6,7,6,1,3,2,2,2,2,2,2,1,2,1,3,2,2,2,1,2,4,4,4,4,4,4,4,4,25,38,15,26,3,8,30,1,39,2,27,21,31,36,18,24,32,12,33,14,22,16,6,10,19,28,20,34,41,40,13,7,37,23,5,17,35,4,11,9,29,1,27, , , , ,1, , ,1,4
28,R_2qaR2HbtHIA1o1J,0,1,1,5,2,4,4,2,5,3,5,4,4,4,5,4,4,2,2,1,3,5,4,4,4,4,5,3,3,5,4,5,4,1,4,5,3,2,3,4,4,2,2,8,20,22,32,5,36,28,38,27,25,33,24,40,7,19,37,16,29,10,13,4,18,39,23,21,17,31,35,34,14,6,15,11,26,2,30,3,12,41,9,1,1,65, , , , ,1, , ,1,20
29,R_2ZVzCTIRXtswTLt,0,1,6,5,6,5,6,6,6,5,6,6,4,7,6,7,6,7,1,1,1,2,2,3,1,2,2,2,1,2,1,2,2,3,2,4,4,4,4,4,4,4,4,1,8,30,29,27,37,32,12,7,18,13,36,31,3,26,39,41,9,10,17,19,33,20,34,21,4,22,16,14,5,23,6,2,40,11,28,15,25,35,24,38,2,36, , , , ,1, , ,2,10
30,R_2Yb5xtem0FyxQt6,0,1,6,5,5,5,6,7,6,6,6,6,6,6,5,6,6,5,1,2,2,3,2,3,2,3,2,1,1,3,1,2,2,3,3,4,4,4,4,4,4,4,4,29,23,6,25,14,3,37,17,27,22,28,35,31,16,38,1,32,2,18,34,7,13,36,10,12,5,9,26,4,19,39,30,40,33,8,24,15,20,21,11,41,2,35, , , , ,1, , ,1,10
31,R_10qowIcGdHrpI2h,0,1,7,7,7,6,6,7,6,5,7,7,7,7,6,5,7,6,1,1,1,3,2,3,1,3,2,1,1,3,1,2,2,1,2,4,4,4,4,4,4,4,4,2,21,25,6,36,4,28,19,8,33,14,22,32,41,17,3,13,31,39,26,38,27,9,11,30,24,1,29,23,20,15,16,18,7,37,12,34,35,10,40,5,2,36, , , , ,1, , ,1,16
32,R_1qghySX3G6Wr0ZT,0,1,7,7,5,5,7,6,6,6,6,7,6,7,6,6,7,5,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,4,4,4,4,4,4,4,4,16,31,38,35,13,20,29,39,10,1,8,28,5,19,3,15,25,11,7,23,24,37,2,17,4,34,9,18,40,12,14,26,30,6,21,33,36,41,27,22,32,1,51, , ,1, , , , ,1,25
33,R_22FT6kOYicvUz4M,0,1,5,6,3,6,6,7,1,6,5,6,3,6,7,6,7,6,1,5,7,6,7,6,6,1,4,6,1,6,1,6,2,7,2,6,3,3,6,6,3,1,7,27,24,16,14,15,8,6,23,10,5,39,19,9,3,26,18,11,17,2,38,35,36,13,34,1,41,37,33,4,7,40,22,28,29,12,25,20,30,21,32,31,2,26, , , , ,1, , ,1,6
34,R_2cd6QKO9aVXLY9X,0,1,6,5,4,6,6,6,4,6,5,6,6,5,5,6,5,6,1,2,6,2,5,6,6,2,6,6,5,5,6,6,2,5,6,6,6,4,4,6,6,4,5,14,33,30,4,23,28,8,6,19,3,9,20,41,21,35,16,1,31,7,5,36,11,25,15,32,10,37,12,24,17,29,26,40,13,38,34,2,18,27,22,39,1, ,1, , , , , , ,1,11
35,R_2agJ4XO76xWAbPv,0,1,6,6,5,6,6,7,6,5,7,7,7,6,7,6,6,6,1,1,1,1,1,2,2,1,1,1,1,2,1,1,2,1,1,4,4,4,4,4,4,4,4,28,2,4,27,32,14,38,24,20,7,19,34,17,35,3,39,16,5,33,37,18,10,25,23,26,36,6,40,12,41,31,9,1,29,15,22,13,8,11,30,21,2,56, , , , ,1, , ,1,45
36,R_3feq8eKCCFTUAVA,0,1,6,6,7,5,5,6,6,6,7,7,7,7,7,7,7,7,1,2,1,2,1,2,2,2,1,7,1,2,1,1,2,2,1,4,4,4,4,4,4,4,4,30,36,14,18,39,10,40,33,2,15,19,21,26,12,13,22,27,3,4,16,7,5,6,9,34,25,38,8,29,28,41,31,20,23,37,32,17,35,11,1,24,1,29, , , , ,1, , ,3,10
37,R_6F50WlVgfy4TpNn,0,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,2,1,1,1,2,1,2,2,2,1,2,1,1,2,1,1,4,4,4,4,4,4,4,4,14,25,38,1,29,2,41,40,37,12,8,23,26,33,31,34,9,32,7,24,17,21,16,22,36,15,13,35,10,20,27,6,4,5,3,30,39,19,28,18,11,1,45, , , , ,1, , ,1,28
38,R_xux26Mf1qiQS1xf,0,1,7,7,6,6,7,7,7,7,7,7,7,6,7,7,7,7,1,1,1,1,1,1,1,2,1,1,1,2,3,1,2,2,1,4,4,4,4,4,4,4,4,27,29,19,1,12,18,8,17,36,20,15,11,6,5,34,35,41,3,14,21,37,38,23,13,39,7,33,4,26,24,40,32,16,31,2,25,9,22,30,10,28,1,51, , , , ,1, , ,1,36
39,R_vNPCrjxoRI2DI8p,0,1,5,3,6,6,6,5,5,6,5,6,6,4,6,4,4,4,5,4,4,5,5,5,5,6,4,4,5,4,3,5,6,6,3,6,5,5,4,5,4,5,6,1,23,22,20,30,34,19,29,37,9,21,14,3,12,28,27,24,33,40,16,38,10,41,4,17,25,31,7,32,18,13,8,6,36,11,35,2,5,39,26,15,1,21, , , ,1, , , ,1,3
40,R_2rB1XL6bYBJawKX,0,1,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,1,2,1,2,1,2,2,2,2,2,1,2,1,1,2,2,1,4,4,4,4,4,4,4,4,10,28,32,9,41,18,19,4,30,34,2,17,37,15,7,11,40,20,27,25,38,13,35,21,1,12,8,29,3,22,31,16,39,6,36,23,24,5,14,33,26,2,40, , , , ,1, , ,1,18
41,R_1pQ24yBQz3bUdiB,0,1,5,5,5,5,7,6,5,7,5,7,7,6,6,6,6,7,1,1,1,2,2,2,3,2,1,1,1,2,1,1,2,3,2,4,4,4,4,4,4,4,4,24,32,21,7,15,27,19,12,28,40,3,35,11,31,39,8,23,26,20,6,38,17,13,2,5,14,25,41,4,29,18,30,9,16,37,33,10,22,1,34,36,2,25, , , , ,1, , ,2, 
42,R_aVuHY6ZWVwyAZpv,0,1,6,6,7,7,6,6,6,6,6,7,6,6,6,6,6,6,1,1,1,1,6,2,1,1,2,1,1,1,1,6,2,1,1,5,4,4,6,4,4,4,6,35,16,9,21,12,18,31,7,5,32,4,30,36,41,29,40,26,14,1,34,10,2,22,38,37,19,17,23,33,39,6,27,11,3,24,15,8,28,13,20,25,1,34, , , ,1, , , ,1,7
43,R_3HYR2uuu55JRHm3,0,1,5,5,6,5,6,6,7,6,6,6,7,7,6,6,6,6,1,2,1,2,2,3,2,2,2,2,2,3,1,2,2,2,2,4,4,4,4,4,4,4,4,30,35,9,15,18,40,33,23,36,3,25,38,24,20,1,10,4,29,34,16,37,7,8,2,11,22,27,26,41,13,39,21,14,31,12,28,32,5,17,6,19,1,23, , , , ,1, , ,2,2
44,R_x3LIaGsDDn2tmTv,0,1,5,5,5,5,6,5,5,5,6,7,6,5,5,5,6,5,1,2,2,2,3,2,3,2,2,2,1,2,2,3,2,2,2,4,4,4,4,4,4,4,4,11,38,5,20,7,23,33,4,28,37,26,39,13,17,15,32,36,31,18,34,40,10,19,6,14,35,27,24,3,30,25,22,9,41,12,16,1,29,8,2,21,1,36, , , , ,1, , ,1,11
45,R_3O8RqZ2Q5fO0Zw3,0,1,6,7,6,6,7,7,6,7,7,6,7,7,7,7,7,7,3,4,3,3,1,3,1,2,2,2,2,2,1,2,2,2,2,4,4,4,4,4,4,4,4,38,20,37,29,17,13,3,6,2,4,30,22,23,33,9,16,27,1,26,18,15,34,12,24,5,19,39,31,11,21,35,32,8,28,41,25,14,10,7,40,36,1,30, , , , ,1, , ,1,6
46,R_vl7ypgZcv1y5FWp,0,1,7,7,7,7,7,7,7,6,6,7,6,7,6,7,7,7,1,1,1,1,2,2,2,2,1,1,1,2,1,1,2,2,1,4,4,4,4,4,4,4,4,34,23,9,2,10,36,24,4,38,27,3,7,1,33,19,11,39,18,17,8,6,29,32,35,26,41,30,14,15,21,22,31,20,12,13,5,37,16,40,25,28,2,37, , ,1, , , , ,1,17
47,R_3qIGFHf1wnS9juN,0,1,7,6,7,6,6,7,2,6,7,7,7,7,7,7,7,7,1,2,1,2,2,2,2,2,1,2,1,3,1,1,2,2,2,4,4,4,4,4,4,4,4,33,31,11,26,34,39,3,18,8,25,19,37,27,14,12,22,20,32,15,2,1,17,38,29,28,6,5,13,21,30,10,4,36,40,24,16,41,7,35,9,23,2, , , , , ,1, , ,1,35
48,R_2D7cUouK0eBHBWB,0,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,40,4,23,13,2,5,26,22,33,19,16,1,35,12,8,9,17,31,3,20,29,28,38,11,27,10,18,34,21,6,36,25,30,39,14,32,7,24,37,15,41,2,33, , ,1, ,1, , ,3,15
49,R_2uqF2z9I5uNhzv8,0,1,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,1,1,2,3,2,3,2,4,1,1,1,3,1,3,2,3,2,4,4,4,4,4,4,4,4,10,22,9,41,27,31,39,4,24,25,12,36,16,40,8,17,15,7,6,11,38,19,34,26,23,35,3,5,1,2,30,32,28,37,29,13,14,21,18,33,20,2,34, , , ,1, , , ,1,17
50,R_2QAPHuqsA87EhZ5,0,1,3,6,5,6,4,7,5,1,5,7,6,7,6,4,6,6,4,6,2,3,7,4,5,4,5,6,6,7,5,3,2,5,7,7,5,3,7,6,5,4,6,34,21,10,37,13,39,19,2,11,3,41,26,5,16,18,33,30,8,25,6,40,36,38,23,29,12,27,7,4,9,15,35,14,20,28,17,31,22,24,1,32,1,30, , , ,1, , , ,1,3
51,R_Q0QHwgffI9mUuop,0,1,6,6,6,7,7,7,7,5,7,7,7,7,7,7,7,7,2,3,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,4,4,4,4,4,4,4,4,26,20,21,9,36,23,32,16,41,1,37,8,11,15,30,12,39,6,35,10,40,7,19,22,17,3,27,24,5,31,28,18,25,13,34,38,4,14,33,2,29,1,56, , , , ,1, , ,1,38
52,R_2t5aTYCvS20jPuF,0,1,6,5,6,6,6,6,6,6,6,7,6,6,6,7,6,6,1,3,1,2,1,3,2,4,2,2,1,2,1,2,2,3,1,4,4,4,4,4,4,4,4,35,41,3,9,32,16,23,26,18,33,34,5,24,1,14,37,6,27,22,31,13,40,25,4,19,38,36,2,11,15,7,20,12,30,29,10,39,21,8,17,28,1,30, , , , ,1, , ,1,15
53,R_1ClTKUGPcFez85s,0,1,7,6,5,6,5,7,6,6,5,7,7,7,6,7,7,7,1,3,1,2,3,2,3,2,1,1,1,3,3,2,2,2,3,4,4,4,4,4,4,4,4,20,5,21,1,10,3,23,19,22,17,35,32,18,2,13,30,12,24,40,27,25,37,31,8,16,36,33,38,14,15,7,4,6,41,28,39,34,26,11,9,29,1,42, , , , ,1, , ,1,20
54,R_2YQc0d2GkkDwDS2,0,1,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,3,3,3,3,2,2,2,3,2,2,2,3,3,4,4,4,4,4,4,4,4,28,24,17,2,30,33,10,6,22,12,7,15,3,37,27,16,38,1,8,11,25,29,39,5,41,9,18,21,19,13,14,26,4,36,40,20,31,32,23,35,34,1,39, , , , ,1, , ,1,17
55,R_D01PJcyqOVSumhr,0,1,6,5,6,5,6,6,6,6,6,6,6,6,6,6,6,6,1,3,1,3,2,2,2,2,2,1,1,2,1,2,2,1,3,4,4,4,4,4,4,4,4,8,41,39,10,31,15,21,6,34,20,38,32,18,33,29,25,26,37,4,23,28,40,14,1,7,11,9,22,5,30,2,24,13,3,19,27,35,36,12,17,16,1,28, ,1, , , , , ,1,5
56,R_1i1WDMjgcEzcnsp,0,1,6,6,6,6,6,6,7,6,6,7,6,6,6,6,6,7,1,1,1,1,2,1,2,2,5,1,1,2,2,1,2,3,1,4,4,4,4,4,4,4,5,10,14,13,27,19,29,36,28,5,30,16,2,22,17,34,15,33,7,26,4,41,6,3,31,39,25,32,8,21,37,11,9,35,20,38,24,12,40,23,18,1,1,28, , , , ,1, , ,1,9
57,R_2Qh98CJ0mVOtFwq,0,1,6,6,7,7,6,6,6,7,5,6,7,7,6,6,7,7,2,1,2,2,1,2,6,2,2,6,1,5,6,1,2,2,2,6,6,5,6,6,6,5,6,17,29,5,40,16,34,27,6,21,33,37,7,9,8,39,38,3,23,12,30,36,1,19,31,32,25,35,11,14,26,41,20,2,18,22,10,28,13,24,4,15,1,36, ,1, , , , , ,1,15
